what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Oracle Corporation",1542293728789
java.version,sysinfo,,,"1.7.0_91",1542293728789
java.vm.info,sysinfo,,,"mixed mode",1542293728789
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1542293728789
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1542293728789
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1542293728789
java.vm.specification.version,sysinfo,,,"1.7",1542293728789
java.vm.vendor,sysinfo,,,"Oracle Corporation",1542293728789
java.vm.version,sysinfo,,,"24.91-b01",1542293728789
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1542293728824
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1542293729135
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1542293729136
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1542293729186
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1542293729223
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1542293729421
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1542293731598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1542297082415
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1542297082944
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1542297682300
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1542297684308
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1542297685700
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1542297686176
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1542297686187
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1542297686550
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1542297686565
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1542297686665
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1542297686737
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1542297686872
